PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
3089,144209004,727200,C1CCC(CC1)NC(=S)NC2CCCCC2,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SIGMA
3090,144209104,11933,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SigmaAldrich
3091,144209220,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SIGMA
3092,144209254,7929,CC1=CC(=CC=C1)C,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SIGMA
3093,144209422,7070,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SigmaAldrich
3094,144209771,24699,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SIGMA
3095,144210058,12185,CCOC(=O)CS,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,SIGMA
3096,251919731,5879,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,Sigma Chemical Company
3097,170466422,9570327,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,active antagonist,7.4978,-41.1513,Vitas
3098,170465805,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0,,,inactive,inactive,,0,active antagonist,9.0838,-73.1332,Labotest
3099,170466832,9810212,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)Br)[O-])Br)Br)[O-])Br.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,11.4358,-60.0163,Labotest
3100,170465063,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,Inactive,0,,,inactive,inactive,,0,active agonist,12.99,65.4006,Selleck
3101,144213379,67172,CC1=CC(=C(C=C1O)C)C2(C3=CC=CC=C3S(=O)(=O)O2)C4=C(C=C(C(=C4)C)O)C,Inactive,0,,,inactive,inactive,,0,active antagonist,13.6854,-67.1298,SIGMA
3102,144211790,21202,C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O,Inactive,0,,,inactive,inactive,,0,active antagonist,14.7772,-41.5085,LightBiologicals
3103,144213875,4766,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0,,,inactive,inactive,,0,active antagonist,14.7772,-65.7068,SIGMA
3104,170465415,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,Inactive,0,,,inactive,inactive,,0,active antagonist,15.7378,-40.0027,Vitas
3105,144209948,135423095,CC1=CC(=C(C=C1)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-])S(=O)(=O)[O-].[Ca+2],Inactive,0,,,inactive,inactive,,0,active antagonist,16.6968,-55.2279,TCI
3106,144213909,83511,C1=C2C(=C(C(=C1Br)O)Br)OC3=C(C(=C(C=C3C24C5=C(C(=C(C(=C5Cl)Cl)Cl)Cl)C(=O)O4)Br)O)Br,Inactive,0,,,inactive,inactive,,0,active antagonist,17.5621,-63.0523,MP Biomedicals
3107,170464793,6604100,C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,19.9496,-35.0246,Enzo
3108,144210868,136122621,C[C@H]1/C=C\C=C(/C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)\C,Inactive,0,,,inactive,inactive,,0,active antagonist,22.795,-42.6596,SIGMA
3109,144210437,980,C1=CC(=CC=C1[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,active antagonist,22.9752,-33.8857,SIGMA
3110,144212069,22628,C1=CC=C2C(=C1)C(=O)C3=C(C=C(C(=C3C2=O)N)S(=O)(=O)O)Br,Inactive,0,,,inactive,inactive,,0,active antagonist,23.4203,-60.9422,Sigma DiscoveryCPR
3111,144208437,5339,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,23.4917,-54.2883,SIGMA
3112,170465641,6293,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,23.7101,-35.9514,Vitas
3113,170464760,136122621,C[C@H]1/C=C\C=C(/C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)\C,Inactive,0,,,inactive,inactive,,0,active antagonist,23.7101,-50.0294,Tocris
3114,144206961,16013,C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,23.7101,-38.1857,SIGMA
3115,144210859,5339,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,24.3365,-42.333,SIGMA
3116,170466071,38072,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC(=O)O,Inactive,0,,,inactive,inactive,,0,active agonist,25.1151,68.9796,Vitas
3117,170466801,10255083,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,25.6016,-33.5792,SIGMA
3118,144210725,17730,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,26.278,-64.9491,SIGMA
3119,144210711,33258,CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,26.278,-74.851,LightBiologicals
3120,144210949,442972,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,26.6032,-68.02,Synthonix
3121,170465399,135449332,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,Inactive,0,,,inactive,inactive,,0,active antagonist,26.6032,-41.8229,Selleck
3122,144210782,9885850,C1=C2C(C(=O)N(C2=CC(=C1F)Cl)C(=O)N)C(=O)C3=CC(=CS3)Cl,Inactive,0,,,inactive,inactive,,0,active antagonist,27.306,-51.2843,Pfizer
3123,144211842,19522,CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3)S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,27.306,-72.9757,LightBiologicals
3124,144210085,4921319,C1=C(C=C(C(=C1N)O)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,active antagonist,27.9181,-51.2204,TCI
3125,170465710,62330,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O)C,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,28.1796,-33.8254,SIGMA
3126,144212314,6604100,C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,28.3743,-43.523,LightBiologicals
3127,144212405,135442941,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,29.4844,-70.51,Acros
3128,144212448,23686673,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,29.4844,-77.4784,Acros
3129,144208879,6702,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,Inactive,0,,,inactive,inactive,,0,active antagonist,29.6058,-34.1535,SIGMA
3130,170464920,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-56.755,Microsource
3131,144209642,980,C1=CC(=CC=C1[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,active antagonist,31.8256,-63.5301,SigmaAldrich
3132,144213816,16850,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,Inactive,0,,,inactive,inactive,,0,active agonist,34.3762,377.745,SIGMA
3133,144211971,135414420,CC1=C(C=CC(=C1)S(=O)(=O)[O-])N=NC2=C(C=CC3=CC=CC=C32)O.[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,35.7211,-59.4083,SIGMA
3134,144212216,135565106,C1=CC=C(C(=C1)C(F)(F)F)N=NC2=C(C=CC3=CC(=CC(=C32)O)S(=O)(=O)[O-])N.[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,35.7211,-34.8654,LightBiologicals
3135,144212408,24671,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,35.7573,-71.2465,Acros
3136,144209095,17730,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,35.8665,-59.1609,SIGMA
3137,144212179,23677844,CC1=CC(=C(C=C1)N/N=C/2\C(=O)C=C/C(=N\NC3=CC=C(C=C3)S(=O)(=O)[O-])/C2=O)C.[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,36.4132,-62.1499,LightBiologicals
3138,144208648,40399,C1=CC(=C(C(=C1C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,37.0054,-42.8867,Sensient
3139,144211796,6364585,CCOC1=CC=C(C=C1)N=NC2=CC(=C(C=C2)/C=C/C3=C(C=C(C=C3)N=NC4=CC=C(C=C4)OCC)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,37.9786,-50.7522,LightBiologicals
3140,144213997,4984721,C1=CC(=C(C=C1[N+](=O)[O-])O)N,Inactive,0,,,inactive,inactive,,0,active antagonist,43.2771,-51.6422,SIGMA
3141,144208337,91555,CC1CC(CCC1N)CC2CCC(C(C2)C)N,Inactive,0,,,inactive,inactive,,0,active antagonist,45.7029,-32.5866,SIGMA
3142,251919678,11689,C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)Br)OC5=C3C=CC(=C5Br)O,Inactive,0,,,inactive,inactive,,0,active antagonist,45.8415,-56.718,TCI America
3143,144208666,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Inactive,0,,,inactive,inactive,,0,active antagonist,46.8246,-36.1019,SIGMA
3144,144209352,16015,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,46.9197,-39.4544,Sensient
3145,144207498,15660,C1CC(CCC1CC2CCC(CC2)N)N,Inactive,0,,,inactive,inactive,,0,active antagonist,47.7195,-38.4091,SIGMA
3146,144212251,23675737,CC1=NN(C(=O)C1N=NC2=CC=CC=C2)C3=C(C=CC(=C3)S(=O)(=O)[O-])Cl.[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,48.5577,-51.2635,LightBiologicals
3147,144208549,3613389,C1=CC(=C(C=C1[N+](=O)[O-])N)O,Inactive,0,,,inactive,inactive,,0,active antagonist,48.5577,-56.1107,SIGMA
3148,144207945,11872,CC1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,active antagonist,49.052,-35.3393,Alfa Aesar
3149,144213105,3613389,C1=CC(=C(C=C1[N+](=O)[O-])N)O,Inactive,0,,,inactive,inactive,,0,active antagonist,50.201,-48.0714,SIGMA
3150,144213336,16015,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,50.4574,-45.3049,SIGMA
3151,144208212,62158,C1=CC(=C(C=C1[N+](=O)[O-])OCCO)NCCO,Inactive,0,,,inactive,inactive,,0,active antagonist,50.5087,-70.2238,NTP-MRI Repository
3152,144209575,8486,C1=C(SC(=N1)N)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,active antagonist,50.8682,-38.6222,SIGMA
3153,144210871,16013,C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,50.9014,-50.408,SIGMA
3154,144209713,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,50.9196,-35.5076,SIGMA
3155,144212556,9839424,C1=CC(=CC=C1NC(=O)CC[C@@H](C(=O)O)N)[N+](=O)[O-].Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,51.435,-34.1905,LightBiologicals
3156,144208831,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,Inactive,0,,,inactive,inactive,,0,active agonist,51.8987,245.607,SigmaAldrich
3157,144213297,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,Inactive,0,,,inactive,inactive,,0,active agonist,52.5514,157.552,SIGMA
3158,144212581,22842,CC1=NN(C(=O)C1N=NC2=CC=C(C=C2)S(=O)(=O)[O-])C3=CC(=C(C=C3Cl)S(=O)(=O)[O-])Cl.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,54.4827,-55.7034,LightBiologicals
3159,144213128,5111791,C1=CC(=C(C=C1[N+](=O)[O-])N)N,Inactive,0,,,inactive,inactive,,0,active antagonist,54.4827,-37.1015,SIGMA
3160,144208737,16013,C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,54.6489,-58.5157,SIGMA
3161,144212060,93098,C1=CC(=CC=C1C2=CSC(=N2)NN)N,Inactive,0,,,inactive,inactive,,0,active antagonist,56.6142,-31.9886,Sigma DiscoveryCPR
3162,144213172,62542,CC1=CC(=C(C=C1N=NC2=C(C3=CC=CC=C3C(=C2)S(=O)(=O)[O-])O)S(=O)(=O)[O-])C.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,56.6142,-100.938,LightBiologicals
3163,144210004,155819421,C[C@H]1/C=C\C=C(/C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(OC=C[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])\C.[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,57.0174,-41.0362,SIGMA
3164,144212913,23675339,CC1=NN(C(=O)C1N=NC2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,active antagonist,58.829,-45.1546,LightBiologicals
3165,144213767,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,58.8994,-32.6572,LightBiologicals
3166,144212733,3465817,C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,Inactive,0,,,inactive,inactive,,0,active antagonist,61.1306,-36.5562,PiChemicals
3167,144212203,5284435,C1=CC=C(C=C1)NC2=C(C=C(C=C2)NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,64.7528,-38.7496,LightBiologicals
3168,144206448,14184,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,65.0391,-32.4639,RTI
3169,144209800,5280805,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,65.214,-35.3274,SigmaAldrich
3170,144212594,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,72.6538,-31.5017,LightBiologicals
3171,170466847,444212,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Specs
3172,170466399,79472,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Labotest
3173,170466828,10664,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Bosche
3174,170466232,8739,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Labotest
3175,170465865,4904,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Specs
3176,170466381,65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3177,170465492,439524,CC(C)C[C@H](C(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Bosche
3178,170466397,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
3179,170464987,4614,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3180,170465358,2266,C(CCCC(=O)O)CCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3181,170464744,180559,CC(C)NC[C@H](COC1=CC=C(C=C1)CC(=O)N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3182,170466526,1727,C1=CN=CC=C1N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3183,170466583,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3184,170465411,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3185,170464860,2130,C1C2CC3CC1CC(C2)(C3)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3186,170466894,5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Tocris
3187,170464971,6114,CC(C[N+](C)(C)C)OC(=O)C.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3188,170465420,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3189,170464640,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3190,170465039,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3191,170466151,71417,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3192,170465179,2141,C(CN)CNCCSP(=O)(O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Prestwick
3193,170464692,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Specs
3194,170466659,2230,CN1CCC=C(C1)C(=O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3195,170465893,657381,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[N+](=O)([O-])[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3196,170466652,2734952,C(=NN)(N)N.C(=NN)(N)N.OS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3197,170464792,12035,CC(=O)N[C@@H](CS)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3198,170465057,564,C(CCC(=O)O)CCN,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3199,170464758,11065,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3200,170465812,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Enzo
3201,170464714,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3202,170465259,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3203,170465854,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Enzo
3204,170464747,62884,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3205,170465028,6433334,CN(C)CC[C@@H](C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3206,170464735,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3207,170464844,11545,C[N+](C)(C)CC(=O)O.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Selleck
3208,170465099,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3209,170465448,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Tocris
3210,170464909,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inactive,0,,,inactive,inactive,,0,inactive,,0,Enzo
3211,170465161,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3212,170464770,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3213,170466356,2763,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3214,170464880,2578,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3215,170464929,6241,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Enzo
3216,170464624,22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3217,170464898,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3218,170466889,60196361,CN(C)CC[C@@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3219,170464712,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3220,170466443,60839,CCC1=CC(=CC=C1)N(C)C(=NC2=CC=CC3=CC=CC=C32)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,SIGMA
3221,170464972,5831,C[N+](C)(C)CCOC(=O)N.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Enzo
3222,170464957,2733,C1=CC2=C(C=C1Cl)NC(=O)O2,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3223,170465303,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
3224,170464912,11548,CC(C[N+](C)(C)C)OC(=O)N.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,Enzo
3225,170466760,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Vitas
3226,170466310,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Tocris
3227,170465329,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,Microsource
